template_id,bucket,bucket_name,category_slot,prompt_template,paraphrase_variant,intent_notes
M100-01-01,01,Definitional,{category},What is {category} and how does it work?,formal-interrogative,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-02,01,Definitional,{category},Can you explain {category} in simple terms?,conversational,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-03,01,Definitional,{category},Define {category} and describe its core components.,declarative-define,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-04,01,Definitional,{category},I keep hearing about {category} but don't understand it. What is it?,first-person-novice,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-05,01,Definitional,{category},Give me a plain-language overview of {category}.,concise-overview,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-06,01,Definitional,{category},What does {category} actually mean for a business?,business-framing,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-07,01,Definitional,{category},How would you describe {category} to someone new to the topic?,explanatory,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-08,01,Definitional,{category},"What problem does {category} solve, and how?",problem-framing,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-09,01,Definitional,{category},"Break down {category}: definition, purpose, and how it functions.",structured-breakdown,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-01-10,01,Definitional,{category},"In one paragraph, what is {category}?",short-form,Tests whether the model surfaces a clear definition/explanation and which sources it cites for it.
M100-02-01,02,Comparative,{category},What are the main approaches to {category} and how do they differ?,formal-interrogative,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-02,02,Comparative,{category},Compare the leading methods used in {category}.,conversational,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-03,02,Comparative,{category},What are the pros and cons of the different options for {category}?,declarative-define,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-04,02,Comparative,{category},How do the main {category} strategies stack up against each other?,first-person-novice,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-05,02,Comparative,{category},What's the difference between the common approaches to {category}?,concise-overview,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-06,02,Comparative,{category},Which {category} approach is best for which situation?,business-framing,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-07,02,Comparative,{category},Give me a comparison of the major {category} options.,explanatory,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-08,02,Comparative,{category},What trade-offs should I weigh when choosing a {category} approach?,problem-framing,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-09,02,Comparative,{category},How do practitioners decide between competing {category} methods?,structured-breakdown,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-02-10,02,Comparative,{category},Contrast the most common ways to do {category}.,short-form,Tests how the model contrasts approaches and which sources it cites when comparing.
M100-03-01,03,Top-Provider,{category},Who are the leading providers of {category}?,formal-interrogative,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-02,03,Top-Provider,{category},Which companies are known for {category}?,conversational,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-03,03,Top-Provider,{category},Who should I consider for {category} services?,declarative-define,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-04,03,Top-Provider,{category},What are the top options for {category} right now?,first-person-novice,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-05,03,Top-Provider,{category},Recommend some reputable providers of {category}.,concise-overview,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-06,03,Top-Provider,{category},Who are the most trusted names in {category}?,business-framing,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-07,03,Top-Provider,{category},"If I need {category}, who are the best providers to look at?",explanatory,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-08,03,Top-Provider,{category},List the well-regarded providers of {category}.,problem-framing,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-09,03,Top-Provider,{category},Which vendors specialize in {category}?,structured-breakdown,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-03-10,03,Top-Provider,{category},Who are the go-to experts or firms for {category}?,short-form,Tests whether the model names providers and which entities/sources it cites; brand selection signal.
M100-04-01,04,Methodological,{category},What methodology should be used to evaluate {category}?,formal-interrogative,Tests whether the model surfaces a method/framework and cites a primary source for it.
